,Stock_2015,Stock_2014,Stock_2013,Stock_2012,Stock_2011,Stock_2010,Trend_2015,Trend_2014,Trend_2013,Trend_2012,Trend_2011,Trend_2010,ID
46,126.277473842,87.0347859327,80.4041066066,56.8556259427,87.2344341085,107.990038052,UP,UP,UP,UP,DOWN,DOWN,500840
47,2802.40853513,2802.7020948,2502.98103604,2843.65999246,3461.90287597,1543.70519787,DOWN,UP,UP,DOWN,UP,UP,500209
48,9.27271993912,7.50569005848,5.8073115942,7.77474725275,7.92641549296,11.2014692029,UP,UP,UP,UP,DOWN,DOWN,524748
49,61.0020104634,37.664648318,22.9237211221,9.84761136713,12.2419906542,14.8431330203,UP,UP,UP,UP,DOWN,DOWN,532807
50,947.23103139,1347.16084098,2099.86352102,3389.25392157,8544.8719845,17600.9709437,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,505200
51,65.4311509716,33.9906269113,31.0595195195,28.6016214178,15.6732635659,27.6856925419,DOWN,UP,DOWN,UP,UP,DOWN,500285
52,47.5948281016,38.4547400612,37.626509009,33.2119607843,59.4904883721,97.2040030441,UP,UP,DOWN,UP,DOWN,DOWN,500171
53,1333.16100149,782.83101682,811.004196697,560.74933635,272.609658915,149.93585997,UP,UP,DOWN,UP,UP,UP,526881
54,174.186838565,115.730550459,76.9475225225,61.45739819,95.6206976744,117.403789954,UP,UP,UP,UP,DOWN,UP,500366
55,93.3905453149,104.722949309,90.6633415033,87.1417138365,62.6584583333,47.4142214112,DOWN,UP,DOWN,DOWN,UP,UP,533078
56,1376.61363976,973.514961774,893.233378378,2288.41460784,2557.55742636,3426.0923516,DOWN,UP,DOWN,DOWN,UP,UP,532432
57,25.4725037369,16.262713615,12.9052330097,10.3249585492,10.3511835017,15.5654660194,UP,UP,DOWN,UP,DOWN,UP,532439
58,387.035224215,456.774350153,523.575465465,876.093710407,1504.50939535,1098.19043379,DOWN,UP,DOWN,DOWN,DOWN,UP,532281
59,,,,,5.64743333333,3.60087160494,,,,,UP,UP,526683
60,458.98809417,812.546689602,952.09710961,1242.43338612,947.732031008,109.446552511,DOWN,DOWN,DOWN,UP,UP,UP,532301
61,229.608609865,247.928279817,287.246411411,302.011146305,277.892310078,210.674764079,UP,UP,DOWN,UP,UP,UP,532654
62,18.9308893871,10.6146559633,7.31949099099,6.82869381599,11.7305317829,11.5064094368,UP,UP,DOWN,UP,DOWN,UP,526550
63,7.80296634615,11.2538063973,10.6149016393,11.5759357798,15.1607503876,31.2799923896,DOWN,UP,DOWN,DOWN,DOWN,DOWN,524808
64,125.346173393,100.807759939,140.089129129,120.758710407,124.802736434,103.384398782,UP,DOWN,DOWN,UP,DOWN,DOWN,590062
65,1773.79292227,2312.33902141,2816.07294294,4445.74861991,4784.25403101,6105.8753653,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,500676
66,65.1758893871,41.5345030581,25.7320570571,19.1305354449,32.342,78.5394824962,DOWN,UP,UP,UP,DOWN,DOWN,500477
67,577.947122571,538.328486239,420.410660661,314.866463047,459.308217054,293.341796043,DOWN,UP,UP,UP,DOWN,UP,500470
68,,,,79.1446666667,20.6681417445,8.24996410256,,,,UP,UP,UP,534920
69,700.844282511,720.196513761,972.399714715,1020.61365008,1492.7204031,1702.08719939,DOWN,DOWN,DOWN,DOWN,DOWN,UP,532488
70,349.765949178,346.435275229,326.569189189,291.821229261,338.631465116,432.642404871,DOWN,UP,UP,UP,DOWN,UP,500770
71,626.721935725,394.642148318,352.884084084,444.49300905,250.777271318,393.054649924,DOWN,UP,DOWN,UP,DOWN,DOWN,532617
72,111.997436472,59.3281192661,52.9090315315,78.7406862745,86.6672015504,106.682108067,UP,UP,DOWN,DOWN,DOWN,UP,532529
73,44.9108221226,29.2637920489,23.6009459459,17.0642458522,24.3524573643,25.5079604262,UP,UP,UP,UP,DOWN,UP,523610
