,ID,Sector,Company
167,500414,miscellaneous,Timex Group India
168,533168,plantations,Rossell India
169,532529,media & entertainment,New Delhi Television
170,524518,pharmaceuticals,Krebs Biochemicals & Industries
171,500155,textiles,Garden Silk Mills
172,509550,construction & contracting,Gammon India
173,500530,auto ancillaries,Bosch
174,507260,sugar,Oudh Sugar Mills
175,530149,textiles,KSL & Industries
176,532755,computers,Tech Mahindra
177,500228,steel,JSW Steel
178,500331,chemicals,Pidilite Industries
179,500676,food processing,GlaxoSmithKline Consumer Healthcare
180,532430,power,BF Utilities
181,590024,fertilisers,Fertilisers and Chemicals Travancore
